peak;degree
134;9
156;35
-114;193
-116;217
-98;263
122;12
140;38
-78;172
-130;195
-130;215
-82;170
105;1
90;358
-86;177
109;2
-111;189
-133;212
-87;239
116;1
-103;181
105;0
-114;187
-95;180
105;4
-86;178
120;2
-107;185
112;2
-130;190
117;10
-106;183
-88;180
-103;182
106;3
95;1
90;0
-100;182
101;1
-110;182
107;5
106;4
-134;192
-95;220
-88;258
137;19
126;47
-98;188
121;12
111;50
-97;184
-132;205
-106;226
124;12
132;36
-86;176
-119;197
-106;214
-88;235
-101;182
110;4
-106;187
140;14
113;34
91;74
-146;203
-90;220
-95;259
86;358
-87;180
105;3
118;3
106;4
105;5
-122;189
95;2
109;4
-126;189
-84;181
113;5
-114;190
102;5
-95;181
106;5
104;3
-106;186
102;3
-126;193
-79;179
99;4
-119;185
-95;183
-86;180
108;5
-81;182
-91;182
110;5
110;5
-103;189
-106;206
126;15
114;52
-110;187
-127;210
-94;230
-84;182
97;4
-83;180
97;5
96;5
97;5
-98;184
97;5
-88;184
-103;184
98;5
-103;184
109;5
-91;184
105;5
-91;184
92;5
-98;186
82;4
-93;184
-100;184
94;5
-82;183
99;6
-100;186
-83;185
-92;183
105;6
-95;185
-96;184
94;6
-102;189
105;7
-114;197
-94;186
-95;184
97;7
-87;185
97;7
-98;184
94;6
89;5
91;8
-95;185
96;7
-103;186
96;7
-106;187
-90;187
97;8
-97;193
110;8
115;8
-99;186
98;8
-90;186
96;9
-119;196
-98;187
110;8
-92;188
96;9
-82;185
94;8
-98;187
89;7
-87;187
110;9
-88;190
100;8
-103;192
-96;188
-98;186
98;9
-112;195
-108;196
101;9
-86;187
100;9
-127;197
102;10
98;9
-100;189
-98;189
105;10
-84;187
86;8
-80;184
106;10
-81;184
-107;190
89;9
-91;187
108;11
-86;186
-84;189
103;10
-82;188
-94;189
-83;187
-95;189
92;10
-103;189
-103;191
-102;189
95;10
