peak;degree
108;242
94;233
102;207
90;244
90;319
89;292
94;305
98;255
94;284
95;246
94;216
94;276
97;246
97;277
94;300
85;232
96;228
81;239
93;267
86;232
86;286
97;247
97;250
86;249
90;250
96;246
90;248
92;249
96;252
82;241
86;258
102;252
88;282
82;235
91;287
106;235
78;267
84;259
90;246
86;256
85;283
85;284
101;284
80;340
78;244
92;183
98;157
81;19
78;321
85;286
84;300
80;223
88;217
113;283
88;223
82;309
92;226
82;241
74;319
76;309
73;234
78;243
74;297
85;212
96;338
82;284
85;298
89;323
82;293
85;285
92;295
97;304
86;279
82;281
85;298
85;281
89;328
82;305
89;299
86;258
88;290
86;241
86;247
86;224
84;270
86;198
88;259
94;240
94;212
65;256
78;224
81;238
81;284
82;248
86;237
86;291
89;239
93;246
92;284
89;271
89;280
92;239
86;278
102;252
89;243
89;241
82;254
93;259
85;238
