peak;degree
-50;209
-86;233
50;35
50;49
29;73
-62;217
-62;244
21;16
45;30
42;46
61;64
-53;217
-82;247
18;16
73;44
82;69
-43;206
-51;218
-41;247
22;22
33;34
45;51
41;71
-47;214
-63;227
38;29
33;43
94;68
-87;217
-74;244
20;17
26;27
54;43
42;66
-45;219
-62;243
18;27
44;35
93;64
-62;216
-66;245
32;20
41;37
61;47
-54;220
-82;249
24;21
38;36
66;48
-60;223
-74;251
26;8
18;18
24;0
79;22
86;48
-74;195
-59;218
70;34
73;53
-83;207
-87;227
30;10
49;23
78;39
64;58
-58;196
-56;213
-87;239
33;10
38;27
63;40
98;66
-47;199
-47;221
-86;243
33;16
34;26
50;42
28;66
-70;229
-47;246
31;25
42;29
110;56
-95;213
-82;241
26;13
33;31
86;41
78;63
-55;205
-82;225
-96;248
22;6
22;13
25;23
93;38
125;73
-71;203
-79;240
37;24
54;41
53;63
-74;225
-44;254
17;21
53;40
41;58
94;71
-74;215
-58;231
-87;253
26;22
44;32
50;44
118;62
-62;214
-87;229
53;34
40;46
62;62
-42;203
-63;224
-59;241
49;37
61;48
62;73
-47;207
-74;226
-118;255
59;21
42;40
98;58
-86;225
64;38
22;55
79;68
-72;217
-66;248
20;23
46;40
66;49
81;71
-55;207
-96;222
26;25
53;36
73;54
-80;218
-75;246
17;17
41;25
57;41
66;64
-71;219
-114;249
44;19
37;35
64;44
98;67
-76;219
-81;243
19;27
62;40
52;72
-56;218
-63;252
52;37
57;64
-52;224
-43;247
22;19
41;30
57;55
69;74
-72;214
-56;235
-91;254
24;5
41;23
62;36
81;64
-60;225
-119;246
50;27
90;41
66;64
-66;219
-74;247
46;23
38;39
65;52
102;71
-63;222
-78;243
21;20
41;36
63;46
66;70
-57;221
-66;246
38;25
58;39
53;65
-66;219
-68;247
38;23
44;38
49;57
-95;225
48;33
73;48
-64;222
-78;248
26;19
52;31
74;48
-68;224
-74;249
22;24
53;34
82;57
-50;219
-122;248
36;15
45;24
73;42
36;63
-79;224
25;20
38;36
71;49
37;69
-47;219
-94;244
29;17
26;31
34;44
78;59
-94;227
61;39
30;53
89;73
-90;218
-63;233
46;43
58;62
-59;224
-63;246
25;21
84;47
58;69
-59;213
-78;244
25;20
57;37
44;61
-75;221
24;36
65;45
70;68
-58;211
-98;242
20;16
58;39
49;61
-52;220
-110;248
21;12
42;32
50;43
70;62
-76;227
-68;248
49;23
69;39
42;66
-56;229
-99;250
31;10
36;20
80;40
91;61
-66;217
-74;246
29;14
17;27
59;37
97;68
-70;209
-54;244
50;34
50;45
72;66
-79;217
-81;244
37;24
42;43
72;65
-74;224
-70;248
23;17
27;0
46;14
92;26
82;52
-86;202
-116;231
41;5
34;16
62;32
100;51
-47;193
-91;227
66;27
34;46
94;62
-94;203
40;29
42;43
57;59
-55;205
-74;220
23;18
36;34
57;42
62;66
-59;215
-94;235
37;21
30;28
35;36
41;52
89;61
-66;208
-99;222
34;19
65;36
25;60
-56;223
-98;245
22;14
33;19
55;31
-68;241
18;16
81;40
89;70
-46;203
-100;247
38;20
41;46
101;63
-83;228
-102;253
34;23
35;31
57;45
45;55
82;65
-82;217
-82;239
24;20
98;41
57;64
-60;212
-78;232
40;33
46;45
104;65
-91;214
-59;243
21;25
46;35
72;53
-90;224
24;36
38;45
-91;247
22;14
66;35
42;51
90;68
-64;211
-83;231
-82;248
32;19
57;28
58;43
45;63
121;70
-64;202
-72;222
-122;252
45;20
49;33
86;45
58;67
-64;222
-102;245
43;22
76;40
44;70
-50;225
71;62
110;80
-87;221
-51;235
26;30
25;40
55;67
-88;228
-95;247
21;7
27;16
57;32
87;50
-67;224
-94;247
55;23
50;40
69;60
89;98
-87;220
-74;241
18;23
25;31
54;38
82;53
-76;222
-84;252
31;15
32;21
53;41
96;55
46;75
-72;220
-81;233
-103;251
21;12
50;22
46;39
49;48
146;71
-103;220
-63;243
20;22
49;42
102;65
-63;218
-95;238
25;20
25;37
89;53
38;69
-51;215
-74;225
38;25
30;43
77;64
-142;245
19;24
160;73
-98;223
46;45
-85;245
23;31
88;45
33;60
-71;241
22;37
74;43
79;70
-87;215
-95;242
22;17
41;30
49;39
70;55
73;70
-68;220
-87;243
25;37
45;43
-92;248
34;13
62;31
42;63
-66;221
-75;248
56;28
73;40
78;60
-84;227
52;36
37;46
78;70
-78;213
-87;248
22;14
148;65
-79;222
26;41
73;50
17;34
29;37
30;55
-132;247
112;61
65;48
94;67
-126;246
56;34
49;45
-95;244
47;26
42;39
56;51
-65;225
-79;249
38;15
40;26
57;40
52;55
63;68
-78;218
-74;244
18;12
51;37
66;45
29;64
-74;224
-50;254
30;21
38;34
37;44
84;60
-50;212
-66;245
25;18
31;27
56;41
69;62
-86;222
-103;251
48;25
46;43
109;63
-58;217
35;32
26;43
41;50
